FilePath,ClassIndex,SplitSet,class_name,Visual_clue,Audio_clue,Vision_Key_Elements,Vision_cues_list,Audio_cues_list,Visual_Timeclue,Audio_Timeclue,Time_text
ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c01.avi,1,train,ApplyEyeMakeup,A young woman with long brown hair is applying makeup to her eyelid. She is holding a makeup brush in her right hand and is using it to apply the makeup to her left eye. She is looking at the camera and talking.,"A female voice gives a brief cosmetic instruction, speaking clearly and at a moderate pace. The audio quality is slightly degraded, with a faint background hum.","[Vision-Key-Elements]
- Person (Pose/Action): applying makeup to her left eye
- Objects: makeup brush
- Scene: unknown
- Motion:
- Interaction: person is talking
- Visual Cues: long brown hair, applying makeup with brush, talking to the camera, looking at the camera, makeup brush in right hand, using makeup on left eye","[applying makeup, talking to the camera, makeup brush in right hand, looking at the camera, using makeup on left eye, long brown hair]","[makeup brush, female voice, cosmetic instruction, background hum]","The video starts with a young girl holding a makeup brush in her right hand. She then proceeds to apply makeup to her eyelid, moving the brush back and forth gently. The video continues with the girl maintaining this motion, focusing on her eye area. Finally, the girl pauses her application, looking directly at the camera.",Start: Narration begins with instructional language. Then: Explanation continues about applying product onto eyelid. Next: Immediate demonstration of application technique occurs. Finally: Instruction to avoid using the applicator tip for eyes is stated.,"The video begins with a young girl holding a makeup brush, applying makeup to her eyelid in a gentle back-and-forth motion. The girl continues this motion, focusing on her eye area. She pauses her application, looking directly at the camera. The narration provides instructional language at the beginning, explaining the application of product onto the eyelid. The explanation continues, followed by a demonstration of the application technique. The narrator then advises against using the applicator tip for the eyes."
ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c02.avi,1,train,ApplyEyeMakeup,A young woman with long brown hair is applying makeup to her right eye. She is holding a makeup brush in her right hand and is using it to apply the makeup to her eyelid. She is looking at the camera and talking.,"A female speaker delivers instructions with a slightly rushed pace, accompanied by background hum and occasional static interference. The delivery maintains an engaged tone, indicating an instructional or explanatory context.","[Vision-Key-Elements]
- Person (Pose/Action): applying makeup to her right eye
- Objects: makeup brush
- Scene: indoor setting
- Motion: applying makeup, looking at the camera
- Interaction: person is alone, holding makeup brush
- Visual Cues: applying makeup to right eye, holding makeup brush, looking at the camera, talking to the camera","[applying makeup to right eye, holding makeup brush, looking at the camera, talking to the camera]","[makeup brush, female voice, instructional tone, background hum, static interference]","The video begins with a girl applying eyeliner to her right eye. She uses a brush to carefully line the top and bottom lash lines, demonstrating precise and deliberate movements. Throughout the process, she maintains a focused expression and occasionally glances at the camera. The video concludes with her finishing the application, showcasing the final look of her eyeliner.",Start: Issue with low voltage affecting the microphones Then: Audible distortion and interference in speech Next: Inconsistent audio quality despite stable microphone activity Finally: Speaker discusses technical considerations for audio recording,"The girl carefully applies eyeliner to her right eye, using a brush to line the top and bottom lash lines with precise movements. The audio starts with an issue of low voltage affecting the microphones, resulting in audible distortion and interference in speech, followed by inconsistent audio quality. The speaker eventually discusses technical considerations for audio recording, while the girl completes the eyeliner application, finishing with a final look."
ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c03.avi,1,train,ApplyEyeMakeup,"A young woman with long brown hair is applying makeup to her right eye. She is using a small brush to apply the makeup, which appears to be eyeliner or eyeshadow. She is looking directly at the camera and talking as she applies the makeup.","A female voice provides a tutorial on eye makeup application, emphasizing the importance of using a quick-drying eyeshadow brush to avoid clumping. The tone is instructional and focused, with deliberate pacing and clear enunciation of techniques.","[Vision-Key-Elements]
- Person (Pose/Action): applying makeup to her right eye, talking
- Objects: small brush, makeup
- Scene: specified
- Motion:
- Interaction:
- Visual Cues: long brown hair, applying makeup with small brush, looking directly at the camera, talking while applying makeup","[applying makeup with small brush, talking, looking directly at the camera, long brown hair]","[eyeshadow brush, makeup tutorial, female voice, instructional tone, deliberate pacing, clear enunciation]","The video begins with a young woman holding an eyeliner pencil. She then proceeds to apply the eyeliner to her upper eyelid, carefully outlining her eye shape. The video concludes with the woman looking directly at the camera, showcasing her completed eyeliner look.",Start: Demonstrating proper use of a brush for eye makeup. Then: Emphasizing application of dry eyeshadow. Next: Addressing common issues preventing a smudged appearance. Finally: Highlighting the brush's effectiveness in preventing clumpiness.,"The video begins with a young woman demonstrating the proper use of a brush for eye makeup. She then moves on to applying dry eyeshadow, emphasizing its importance in achieving a desired look. The video addresses common issues such as preventing a smudged appearance and highlights the effectiveness of the brush in preventing clumpiness. The woman then concludes the video by applying eyeliner to her upper eyelid, carefully outlining her eye shape, and finishes by looking directly at the camera, showcasing her completed eyeliner look."
ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c04.avi,1,train,ApplyEyeMakeup,"A young woman with long brown hair is applying makeup to her face. She holds a brush in her right hand and gently moves it across her eyelid. Her left hand rests lightly on her cheek, providing support as she concentrates on her reflection.","A female voice speaks softly, giving instructions with a calm and slightly hesitant tone. The audio quality is slightly muffled, and there's a faint background hum.","[Vision-Key-Elements]
- Person (Pose/Action): applying makeup to her face
- Objects: makeup brush
- Scene: indoors (implied by the context of applying makeup)
- Motion: gently moving the brush across her eyelid
- Interaction: holding the brush, resting left hand on her cheek
- Visual Cues: applying makeup, holding brush in right hand, left hand resting on cheek, brown hair, long hair, eyelid, cheek, reflection (implied by the context)","[applying makeup, holding brush, left hand resting on cheek, brown hair, long hair, eyelid, cheek]","[soft voice, female voice, muffled audio quality, background hum, gentle speaking, hesitant tone, human voice]","The video begins with a young woman seated in front of a mirror, her gaze directed towards the camera. She holds a makeup brush and delicately applies makeup to her eyelids. The scene remains static as she continues to apply the makeup, focusing on her eyes.",Start: A person provides vocal guidance Then: Guidance on technique with specific brush movements Next: Description of brush application Finally: Emphasis on maintaining consistency in painting or brushing,"The video begins with a young woman seated in front of a mirror, applying makeup to her eyelids. She holds a makeup brush and continues to apply the makeup, focusing on her eyes. A person provides vocal guidance on the process, offering technique and specific brush movements. The guidance emphasizes maintaining consistency in painting or brushing, as the woman continues to apply the makeup. The scene remains static throughout, with the woman's focus on her eyes and the makeup application."
ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c05.avi,1,train,ApplyEyeMakeup,"The video starts with a title screen that reads ""HOW TO: Apply eyeliner"". The scene then cuts to a young woman with long brown hair and blue eyes. She is holding a makeup brush in her right hand and applying eyeliner to her right eye. She is looking directly at the camera and talking as she applies the eyeliner.","The audio records the unexpected scenario of a dog going into labor. The sounds include the dog’s vocalizations, such as yelping and distress, indicating the onset of labor followed by the sound of dogs pushing during birthing.","[Vision-Key-Elements]
- Person (Pose/Action): holding makeup brush, applying eyeliner to right eye, looking directly at the camera
- Objects: makeup brush, eyeliner, title screen
- Scene: makeup tutorial setting
- Motion: applying eyeliner
- Interaction: person holding and using makeup brush
- Visual Cues: long brown hair, blue eyes, holding makeup brush, applying eyeliner to right eye, looking directly at the camera, reading title screen","[person holding makeup brush, applying eyeliner, reading title screen, looking directly at the camera, long brown hair, blue eyes]","[dog vocalizations, yelping, distress sounds, dogs pushing during birthing, unexpected scenario]","The video starts with a young woman applying makeup to her face. Then, she uses an eyeliner pencil and applies it to her eyelid. Next, she continues to apply the eyeliner, moving the pencil from the inner corner of her eye outward. Finally, she finishes applying the eyeliner on her right eye and looks into the camera.",Start: A person speaking (no specific language indicated) Then: The audio captures the sound of a dog yapping Next: A person exclaims in surprise Finally: The audio continues with static or interference throughout the duration,"The video starts with a young woman applying makeup to her face, then she uses an eyeliner pencil to apply it to her eyelid, moving the pencil from the inner corner of her eye outward, and finally finishes applying the eyeliner on her right eye. Meanwhile, the audio captures a person speaking, followed by the sound of a dog yapping, a person exclaiming in surprise, and then continues with static or interference throughout the duration."
ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c01.avi,1,train,ApplyEyeMakeup,"The video begins with a title card that reads ""HOW TO: Apply Eyeliner"" in white text on a black background. The next shot shows a young woman with blonde hair and blue eyes sitting in front of a mirror, applying eyeliner to her upper eyelid. She holds the eyeliner pencil in her right hand and uses her left hand to pull down her lower eyelid. She carefully applies the eyeliner in a smooth, continuous motion, starting from the inner corner of her eye and moving outwards. The video focuses on the woman's face and hands as she applies the eyeliner, providing a clear view of the technique","A female voice provides a tutorial-like explanation, discussing techniques for enhancing facial features. The speech is clear and instructional, with a calm and focused tone.","[Vision-Key-Elements]
- Person (Pose/Action): sitting in front of a mirror, applying eyeliner
- Objects: title card, mirror, eyeliner pencil
- Scene: black background, likely indoors
- Motion: applying eyeliner in smooth, continuous motion
- Interaction: person applies eyeliner to their own face
- Visual Cues: applying eyeliner to upper eyelid, holding eyeliner pencil in right hand, pulling down lower eyelid with left hand, starting from inner corner of eye, moving eyeliner outwards, using left hand to pull down lower eyelid, clear view of technique.","[applying eyeliner, holding eyeliner pencil, pulling down lower eyelid, starting from inner corner of eye, moving eyeliner outwards]","[eyeliner pencil, female voice, clear speech, instructional tone, calm tone]","The video begins with a close-up shot of a woman applying makeup. Then, the camera focuses on her face as she carefully applies eyeshadow to her eyelids. Next, the scene shifts to a different angle, showing the woman applying makeup to another person's face. Finally, the video ends with a close-up shot of the woman's eyes as she finishes applying the makeup.",Start: Discussion about enhancing eye appearance with a shadow effect Then: Explanation of making the eye appear fuller and even Next: Detailed steps for applying makeup techniques Finally: Conclusion emphasizing visual enhancement,"The video begins with a close-up shot of a woman applying makeup to her own face, carefully applying eyeshadow to her eyelids. The scene shifts to a different angle, showing the woman applying makeup to another person's face. The audio discussion begins with an explanation about enhancing eye appearance with a shadow effect, followed by a detailed explanation of making the eye appear fuller and even. The video ends with a close-up shot of the woman's eyes as she finishes applying the makeup, accompanied by a conclusion emphasizing visual enhancement."
ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c02.avi,1,train,ApplyEyeMakeup,"The video begins with a title card that reads ""How to Apply Eyebrow Makeup"" in white text on a black background. The next shot shows a young woman with blonde hair and fair skin sitting in front of a mirror. She is holding a makeup brush in her right hand and is applying makeup to her right eyebrow. She uses short, light strokes to apply the makeup.","The audio features a female voice speaking in a neutral tone, discussing the use of light, shimmery colors and their natural appearance. The speech is clear and articulate, with no background music or environmental sounds present.","[Vision-Key-Elements]
- Person (Pose/Action): sitting in front of a mirror, holding a makeup brush
- Objects: makeup brush, mirror
- Scene: indoors, likely a home or studio
- Motion:
- Interaction: applying makeup to her right eyebrow
- Visual Cues: title card with white text on a black background, blonde hair, fair skin, applying makeup to right eyebrow with short light strokes","[applying makeup to right eyebrow, blonde hair, fair skin, makeup brush, title card with white text on black background]","[makeup brush, female voice, neutral tone, clear speech, light colors, shimmery colors]","The video begins with a close-up shot of a woman applying makeup. She is using an eyeliner pencil to carefully draw along her upper lash line, creating a defined look. The scene then transitions to the woman using a brush to apply eyeshadow, starting from the inner corner of her eyelid and blending the color outwards towards the outer edge.","Start: Describing color options with a light, shimmery finish. Then: Discussing a lighter matte version that can appear natural. Next: Explaining the suitability of a soft, shimmery finish for a more natural look. Finally: Mentioning the use of a light, matte color.","The video begins with a close-up shot of a woman applying eyeliner, followed by her using a brush to apply eyeshadow from the inner corner of her eyelid, blending the color outwards. The audio description starts by discussing color options with a light, shimmery finish, then moves on to discussing a lighter matte version, followed by explaining the suitability of a soft, shimmery finish for a natural look, and finally mentioning the use of a light, matte color."
ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c03.avi,1,train,ApplyEyeMakeup,"The video starts with a title card that reads ""Step 2: Apply eyeshadow."" The next shot shows a young woman with blonde hair and pink lipstick. She is holding a makeup brush in her right hand and is applying brown eyeshadow to her eyelid. She moves the brush back and forth across her eyelid, blending the color as she goes.","A female voice provides detailed instructions on applying makeup, specifically focusing on defining the eye area with circular motions.","[Vision-Key-Elements]
- Person (Pose/Action): holding a makeup brush, applying brown eyeshadow to eyelid
- Objects: makeup brush, eyeshadow
- Scene: indoor setting (implied by makeup application)
- Motion: applying the makeup brush back and forth
- Interaction:
- Visual Cues: holding makeup brush, applying brown eyeshadow, blending eyeshadow color, blonde hair, pink lipstick, brown eyeshadow color.","[holding makeup brush, applying brown eyeshadow, blending eyeshadow color, blonde hair, pink lipstick, brown eyeshadow]","[makeup brush, eyeshadow, voice, female voice, instructions, makeup application]","The video begins with a close-up of a woman's face, focusing on her eye area. Then, the hand holding a makeup brush appears and starts applying makeup to the woman's eyelid. Next, the brush moves in a gentle, sweeping motion from the inner corner of her eye towards the outer corner, ensuring even coverage. Finally, the video ends with the brush being lifted away, revealing the completed eyeshadow application.","Start: 'The woman begins shaping her eyebrow with small, circular motions.' Then: 'She defines the crease of her eyebrow.' Next: 'She continues to use gentle strokes to softly define her eye area.' Finally: 'She smooths her eyebrow area to refine the facial appearance.'","The video begins with a close-up of a woman's face focusing on her eye area. She starts shaping her eyebrow with small, circular motions, defining the crease of her eyebrow. The hand holding a makeup brush appears and begins applying makeup to the woman's eyelid, using gentle strokes to softly define her eye area. The brush moves in a gentle, sweeping motion from the inner corner of her eye towards the outer corner, ensuring even coverage. The woman smooths her eyebrow area to refine the facial appearance. The brush is lifted away, revealing the completed eyeshadow application."
ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c04.avi,1,train,ApplyEyeMakeup,"The video begins with a woman looking directly at the camera. She is holding a makeup brush in her right hand and is applying makeup to her eyelid. She moves the brush back and forth across her eyelid, carefully applying the makeup. The video ends with the woman still looking at the camera.","The audio features a female voice explaining a makeup technique. She speaks clearly and at a moderate pace, emphasizing the use of shadow to create depth. The tone is instructional and focused, with no background music or environmental sounds.","[Vision-Key-Elements]
- Person (Pose/Action): looking directly at the camera, holding makeup brush, applying makeup
- Objects: makeup brush
- Scene: indoor or studio setting
- Motion: moving makeup brush back and forth
- Interaction: applying makeup to eyelid
- Visual Cues: looking directly at the camera, holding makeup brush, applying makeup to eyelid, moving makeup brush back and forth","[looking directly at the camera, holding makeup brush, applying makeup to eyelid, moving makeup brush back and forth]","[makeup brush, female voice, speaking, makeup technique, instructional tone]","The video starts with a woman sitting in front of a mirror. Then, she is seen applying makeup to her eyes. Next, she uses a brush to apply eyeshadow on her eyelid. Finally, she continues to apply the eyeshadow, moving the brush back and forth on her eyelid.",Start: Discussing the use of shadows to add depth Then: Mentioning the purpose of eyeshadow in creating depth Next: Explaining how shadows enhance perception of dimension Finally: Concluding the discussion on the importance of shadows,"The video begins with a woman applying makeup to her eyes, using a brush to apply eyeshadow on her eyelid, and moving the brush back and forth on her eyelid. The audio description starts with a discussion on the use of shadows to add depth, then moves on to mentioning the purpose of eyeshadow in creating depth, and finally concludes the discussion on the importance of shadows. The visual and audio descriptions are synchronized, with the woman's makeup application process mirroring the audio's explanation of eyeshadow's role in enhancing depth perception."
ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c05.avi,1,train,ApplyEyeMakeup,"The video begins with a close-up shot of a woman's face as she applies eyeshadow to her eyelid using a brush. She is looking into a mirror and carefully applying the makeup. The camera remains focused on her eye as she continues to apply the eyeshadow, moving the brush back and forth across her eyelid.","The audio contains a consistent, low-frequency hum, resembling the background noise of an industrial setting or machinery. There are no distinct musical elements, speech, or discernible environmental sounds beyond the hum. The tone is monotonous and the rhythm is steady, with no notable changes in pitch or","[Vision-Key-Elements]
- Person (Pose/Action): applying eyeshadow to her eyelid
- Objects: eyeshadow brush, mirror
- Scene: indoor setting, possibly a bathroom
- Motion: brush moving across eyelid
- Interaction:
- Visual Cues: applying eyeshadow, looking into mirror, brush moving back and forth across eyelid, close-up shot of face, close-up shot of eye","[applying eyeshadow, looking into mirror, brush moving back and forth across eyelid, close-up shot of face, close-up shot of eye]","[hum, machinery, background noise, steady tone, monotonous]","The video starts with a close-up of a woman's face as she applies makeup. She is using a brush to apply eyeshadow. Then, she continues applying the eyeshadow to her eyelids. Next, she finishes applying the eyeshadow and looks into the mirror. Finally, she admires her work and smiles.",Start: A recording made in a studio environment Then: Persistent background static throughout the audio Next: Introduction of a low humming static noise Finally: Introduction of faint ticking sounds,"The video begins with a close-up shot of a woman applying eyeshadow to her eyelids using a brush. She continues applying the eyeshadow, finishing the process and admiring her work in the mirror. The audio starts with a studio recording, followed by persistent background static, introduction of a low humming static noise, and finally, faint ticking sounds. The woman's actions and the audio progression occur simultaneously throughout the video."
